Nombre,Anterior,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,% Dif 2022
IBEX 35®,8933.6,8930.8,-0.03,8992.7,8905.6,30/05/2022,17:38:00,2.49
IBEX 35® con Dividendos,27983.6,27974.9,-0.03,28168.7,27896.1,30/05/2022,17:38:00,4.08
IBEX MEDIUM CAP®,13341.0,13400.5,0.45,13448.1,13367.5,30/05/2022,17:38:00,-3.0
IBEX SMALL CAP®,8840.4,8870.8,0.34,8903.5,8848.2,30/05/2022,17:38:01,7.63
IBEX 35® Bancos,508.5,515.7,1.42,515.7,510.0,30/05/2022,17:38:01,11.38
IBEX 35® Energía,1538.0,1518.4,-1.27,1542.7,1513.2,30/05/2022,17:38:01,12.51
IBEX 35® Construcción,1625.2,1616.6,-0.53,1639.6,1612.7,30/05/2022,17:38:01,1.28
IBEX Gender Equality,9099.0,9140.3,0.45,9165.3,9120.8,30/05/2022,17:38:00,4.94
IBEX Gender Equality Total Return,10224.5,10270.9,0.45,10299.0,10249.0,30/05/2022,17:38:00,6.06
IBEX Gender Equality Net Return,10005.3,10050.7,0.45,10078.2,10029.3,30/05/2022,17:38:00,5.85
IBEX TOP Dividendo®,2806.1,2793.9,-0.43,2818.8,2787.6,30/05/2022,17:38:00,11.81
IBEX 35® con Dividendos Netos,23323.5,23316.2,-0.03,23477.8,23250.5,30/05/2022,17:38:00,3.78
IBEX 35® Inverso,2056.5,2057.1,0.03,2062.9,2042.9,30/05/2022,17:38:00,-5.97
IBEX 35® Doble Inverso,205.8,205.9,0.05,207.1,203.1,30/05/2022,17:38:00,-13.34
IBEX 35® Inverso X3,7456.6,7463.2,0.09,7526.2,7308.3,30/05/2022,17:38:00,-21.95
IBEX 35® Inverso X5,578.4,579.3,0.16,587.4,559.2,30/05/2022,17:38:00,-40.49
IBEX 35® Inverso X10,3620.4,3631.1,0.3,3733.0,3380.3,30/05/2022,17:38:00,851.1
IBEX 35® Doble Apalancado,4085.5,4082.9,-0.06,4139.5,4059.9,30/05/2022,17:38:00,2.86
IBEX 35® Doble Apalancado Bruto,20101.4,20088.7,-0.06,20367.1,19975.5,30/05/2022,17:38:00,6.07
IBEX 35® Doble Apalancado Neto,16578.7,16568.2,-0.06,16797.9,16474.8,30/05/2022,17:38:00,5.46
IBEX 35® Apalancado X3,540.4,539.9,-0.09,551.1,535.3,30/05/2022,17:38:00,1.07
IBEX 35® Apalancado Neto X3,6762.6,6756.1,-0.1,6896.7,6699.0,30/05/2022,17:38:00,4.94
IBEX 35® Apalancado Neto X5,322.4,321.9,-0.16,333.1,317.3,30/05/2022,17:38:00,-2.45
IBEX 35® Apalancado Neto X10,115.1,114.7,-0.35,122.7,111.5,30/05/2022,17:38:00,-45.38
IBEX 35® Capped Net Return,23387.4,23380.1,-0.03,23542.1,23314.2,30/05/2022,17:38:01,3.78
IBEX 35® Impacto Div,136.9,136.9,,136.9,136.9,30/05/2022, ,
IBEX 35® Volatilidad Objetivo 10% Estándar,179.5,179.5,0.0,180.1,179.2,30/05/2022,17:38:00,0.67
IBEX 35® Volatilidad Objetivo 12% Estándar,185.4,185.4,0.0,186.1,185.1,30/05/2022,17:38:00,0.71
IBEX 35® Volatilidad Objetivo 15% Estándar,189.6,189.6,0.0,190.5,189.2,30/05/2022,17:38:00,0.8
IBEX 35® Volatilidad Objetivo 18% Estándar,188.4,188.4,0.0,189.4,187.9,30/05/2022,17:38:00,0.8
IBEX 35® Volatilidad Objetivo 10% Financiado,129.5,129.5,0.0,129.9,129.3,30/05/2022,17:38:00,0.54
IBEX 35® Volatilidad Objetivo 12% Financiado,132.6,132.6,0.0,133.1,132.4,30/05/2022,17:38:00,0.38
IBEX 35® Volatilidad Objetivo 15% Financiado,138.1,138.1,0.0,138.7,137.8,30/05/2022,17:38:00,0.73
IBEX 35® Volatilidad Objetivo 18% Financiado,132.1,132.1,0.0,132.8,131.8,30/05/2022,17:38:00,0.92
VIBEX®,18.4,18.36,-0.22,18.36,18.36,30/05/2022, ,4.97
IBEX 35® Skew,6.15,5.85,-4.88,5.85,5.85,30/05/2022, ,4.09
IBEX 35® BuyWrite,1499.98,1501.71,0.12,1501.71,1501.71,30/05/2022, ,5.86
IBEX 35® PutWrite,1471.74,1472.43,0.05,1472.43,1472.43,30/05/2022, ,7.0
IBEX 35® Protective Put,661.02,660.92,-0.02,660.92,660.92,30/05/2022, ,-3.43
IBEX 35® Venta de Strangle,1573.12,1575.28,0.14,1575.28,1575.28,30/05/2022, ,8.43
IBEX 35® TR Decrement 4.5%,8907.8,8901.7,-0.07,8963.4,8876.7,30/05/2022, ,2.16
IBEX 35® TR Decrement 5%,8890.4,8884.0,-0.07,8945.6,8858.9,30/05/2022, ,1.95
IBEX 35® TR Decrement 400P,8900.5,8894.4,-0.07,8956.1,8869.4,30/05/2022, ,2.07
IBEX 35® TR Decrement 450P,8878.6,8872.1,-0.07,8933.6,8847.1,30/05/2022, ,1.82
IBEX TOP Dividendo® Rentabilidad,7912.4,7880.9,-0.4,7951.3,7863.2,30/05/2022,17:38:00,13.45
IBEX TOP Dividendo® Rentabilidad Neta,6499.1,6472.7,-0.41,6530.6,6458.2,30/05/2022,17:38:00,13.17
IBEX MEDIUM CAP® con Dividendos,15535.8,15605.1,0.45,15660.5,15573.0,30/05/2022,17:38:00,-1.7
IBEX MEDIUM CAP® con Dividendos Netos,14359.7,14423.7,0.45,14475.0,14394.0,30/05/2022,17:38:00,-1.93
IBEX SMALL CAP® con Dividendos,13354.5,13431.8,0.58,13481.4,13397.6,30/05/2022,17:38:01,8.79
IBEX SMALL CAP® con Dividendos Netos,12820.3,12888.7,0.53,12936.3,12855.9,30/05/2022,17:38:01,8.61
IBEX Growth Market® 15,2461.5,2467.9,0.26,2481.2,2458.9,30/05/2022,17:39:00,1.46
IBEX Growth Market® All Share,2046.4,2058.1,0.57,2065.8,2048.8,30/05/2022,17:39:00,3.72
FTSE4Good IBEX,9630.0,9630.8,0.01,9694.5,9597.6,30/05/2022,17:38:01,3.92
FTSE4Good IBEX Total Return,22173.2,22175.1,0.01,22321.6,22098.5,30/05/2022,17:38:01,5.54
FTSE4Good IBEX Net Return,19510.3,19511.9,0.01,19640.8,19444.5,30/05/2022,17:38:01,5.23
FTSE Latibex All Share,2721.7,2685.5,-1.33,2714.2,2681.9,30/05/2022,17:38:00,28.6
FTSE Latibex TOP,6178.1,6082.0,-1.56,6168.5,6082.0,30/05/2022,17:38:00,22.81
FTSE Latibex BRASIL,14001.6,13683.6,-2.27,13971.3,13683.6,30/05/2022,17:38:00,28.96
IGBM,888.91,889.33,0.05,894.44,886.53,30/05/2022,17:38:00,3.19
IGBM Total,3980.15,3982.48,0.06,3982.48,3982.48,30/05/2022, ,4.91
BCN GLOBAL 100 (Base 1986),711.63,712.98,0.19,716.89,711.17,30/05/2022,17:38:00,7.28
BCN GLOBAL 100 (Base 1963),1829.01,1832.48,0.19,1842.51,1827.82,30/05/2022,17:38:00,7.29
BCN MID 50,25697.5,25905.95,0.81,25948.78,25792.43,30/05/2022,17:38:00,3.59
BCN PROFIT-30,11528.6,11558.83,0.26,11607.81,11503.3,30/05/2022,17:38:00,10.09
BCN ROE-30,18063.95,18088.56,0.14,18223.52,18046.87,30/05/2022,17:38:00,5.74
BCN PER-30,18757.14,18782.82,0.14,18895.75,18708.17,30/05/2022,17:38:00,11.44
BCN INDEXCAT,23533.03,23615.27,0.35,23803.27,23535.32,30/05/2022,17:38:00,4.14
IBILBAO 2000,1413.21,1413.13,-0.01,1422.45,1409.15,30/05/2022,17:38:00,1.13
IGBV,1344.82,1345.25,0.03,1353.22,1341.99,30/05/2022,17:38:00,7.68
Índice TEF Apalancado X3,502.1,503.9,0.36,510.0,483.5,30/05/2022,17:38:01,100.6
Índice SAN Apalancado X3,281.9,292.5,3.76,292.5,282.5,30/05/2022,17:38:01,-2.14
Índice BBVA Apalancado X3,386.7,411.1,6.31,411.1,391.3,30/05/2022,17:38:00,-12.85
Índice ITX Apalancado X3,1413.6,1451.6,2.69,1484.0,1428.8,30/05/2022,17:38:00,-55.14
Índice TEF Apalancado X5,686.1,690.2,0.6,704.1,643.8,30/05/2022,17:38:01,189.39
Índice SAN Apalancado X5,671.0,712.9,6.24,712.9,673.2,30/05/2022,17:38:01,-32.45
Índice BBVA Apalancado X5,167.9,185.5,10.48,185.5,171.2,30/05/2022,17:38:00,-42.28
Índice ITX Apalancado X5,29.8,31.1,4.36,32.3,30.3,30/05/2022,17:38:00,-79.74
Índice TEF Inverso X3,321.8,320.1,-0.53,333.2,316.2,30/05/2022,17:38:01,-61.14
Índice SAN Inverso X3,23.4,22.5,-3.85,23.3,22.5,30/05/2022,17:38:01,-48.28
Índice BBVA Inverso X3,22.0,20.6,-6.36,21.7,20.6,30/05/2022,17:38:00,-40.29
Índice ITX Inverso X3,265.1,257.6,-2.83,261.8,251.5,30/05/2022,17:38:00,32.78
Índice TEF Inverso X5,1813.4,1797.9,-0.85,1920.7,1761.2,30/05/2022,17:38:01,-81.23
Índice SAN Inverso X5,981.1,917.3,-6.5,975.4,917.3,30/05/2022,17:38:01,-76.62
Índice BBVA Inverso X5,2351.6,2098.5,-10.76,2299.1,2098.5,30/05/2022,17:38:00,-70.21
Índice ITX Inverso X5,1261.4,1201.7,-4.73,1235.6,1153.6,30/05/2022,17:38:00,25.43
